survey_date,distributed_date,received_by_date,panel,market_median,sep_release_date,sep_longrun_median,target_date,target_midpoint,market_minus_sep_pp,market_minus_sep_bps,target_minus_sep_pp,target_minus_sep_bps,market_minus_target_bps,days_since_sep_release,source,local_path,receipt_source_file
2014-07-01,2014-07-16,2014-07-21,SPD,3.5,2014-06-18,3.8,2014-07-21,0.125,-0.2999999999999998,-30.0,-3.675,-367.5,337.5,33,pdf_llm,data_raw/2014-July_result.pdf,data_raw/2014-July_result.pdf
2014-09-01,2014-09-04,2014-09-08,SMP,3.75,2014-06-18,3.8,2014-09-08,0.125,-0.04999999999999982,-5.0,-3.675,-367.5,362.5,82,pdf_llm,data_raw/2014-mp_September_result.pdf,data_raw/2014-mp_September_result.pdf
2014-09-01,2014-09-04,2014-09-08,SPD,3.5,2014-06-18,3.8,2014-09-08,0.125,-0.2999999999999998,-30.0,-3.675,-367.5,337.5,82,pdf_llm,data_raw/2014-September_result.pdf,data_raw/2014-September_result.pdf
2014-10-01,2014-10-16,2014-10-20,SMP,3.5,2014-09-17,3.8,2014-10-20,0.125,-0.2999999999999998,-30.0,-3.675,-367.5,337.5,33,pdf_llm,data_raw/2014-mp_October_result.pdf,data_raw/2014-mp_October_result.pdf
2014-10-01,2014-10-16,2014-10-20,SPD,3.5,2014-09-17,3.8,2014-10-20,0.125,-0.2999999999999998,-30.0,-3.675,-367.5,337.5,33,pdf_llm,data_raw/2014-October_result.pdf,data_raw/2014-October_result.pdf
2014-12-01,2014-12-04,2014-12-08,SMP,3.5,2014-09-17,3.8,2014-12-08,0.125,-0.2999999999999998,-30.0,-3.675,-367.5,337.5,82,pdf_llm,data_raw/2014-mp_December_result.pdf,data_raw/2014-mp_December_result.pdf
2014-12-01,2014-12-04,2014-12-08,SPD,3.5,2014-09-17,3.8,2014-12-08,0.125,-0.2999999999999998,-30.0,-3.675,-367.5,337.5,82,pdf_llm,data_raw/2014-December_result.pdf,data_raw/2014-December_result.pdf
2015-01-01,2015-01-15,2015-01-20,SMP,3.5,2014-12-17,3.8,2015-01-20,0.125,-0.2999999999999998,-30.0,-3.675,-367.5,337.5,34,pdf_llm,data_raw/mp-January-result.pdf,data_raw/mp-January-result.pdf
2015-01-01,2015-01-15,2015-01-20,SPD,3.5,2014-12-17,3.8,2015-01-20,0.125,-0.2999999999999998,-30.0,-3.675,-367.5,337.5,34,pdf_llm,data_raw/January-result.pdf,data_raw/January-result.pdf
2015-03-01,2015-03-05,2015-03-09,SMP,3.5,2014-12-17,3.8,2015-03-09,0.125,-0.2999999999999998,-30.0,-3.675,-367.5,337.5,82,pdf_llm,data_raw/mp-March-result.pdf,data_raw/mp-March-result.pdf
2015-03-01,2015-03-05,2015-03-09,SPD,3.5,2014-12-17,3.8,2015-03-09,0.125,-0.2999999999999998,-30.0,-3.675,-367.5,337.5,82,pdf_llm,data_raw/March-result.pdf,data_raw/March-result.pdf
2015-04-01,2015-04-16,2015-04-20,SMP,3.5,2015-03-18,3.8,2015-04-20,0.125,-0.2999999999999998,-30.0,-3.675,-367.5,337.5,33,pdf_llm,data_raw/mp-April-result.pdf,data_raw/mp-April-result.pdf
2015-04-01,2015-04-16,2015-04-20,SPD,3.5,2015-03-18,3.8,2015-04-20,0.125,-0.2999999999999998,-30.0,-3.675,-367.5,337.5,33,pdf_llm,data_raw/April-result.pdf,data_raw/April-result.pdf
2015-06-01,2015-06-04,2015-06-08,SMP,3.5,2015-03-18,3.8,2015-06-08,0.125,-0.2999999999999998,-30.0,-3.675,-367.5,337.5,82,pdf_llm,data_raw/mp-June-result.pdf,data_raw/mp-June-result.pdf
2015-06-01,2015-06-04,2015-06-08,SPD,3.5,2015-03-18,3.8,2015-06-08,0.125,-0.2999999999999998,-30.0,-3.675,-367.5,337.5,82,pdf_llm,data_raw/June-result.pdf,data_raw/June-result.pdf
2015-07-01,2015-07-15,2015-07-20,SMP,3.5,2015-06-17,3.8,2015-07-20,0.125,-0.2999999999999998,-30.0,-3.675,-367.5,337.5,33,pdf_llm,data_raw/mp-July-result.pdf,data_raw/mp-July-result.pdf
2015-07-01,2015-07-15,2015-07-20,SPD,3.38,2015-06-17,3.8,2015-07-20,0.125,-0.41999999999999993,-42.0,-3.675,-367.5,325.5,33,pdf_llm,data_raw/July-result.pdf,data_raw/July-result.pdf
2015-09-01,2015-09-03,2015-09-08,SMP,3.5,2015-06-17,3.8,2015-09-08,0.125,-0.2999999999999998,-30.0,-3.675,-367.5,337.5,83,pdf_llm,data_raw/mp-sep-result.pdf,data_raw/mp-sep-result.pdf
2015-09-01,2015-09-03,2015-09-08,SPD,3.38,2015-06-17,3.8,2015-09-08,0.125,-0.41999999999999993,-42.0,-3.675,-367.5,325.5,83,pdf_llm,data_raw/Sep-results.pdf,data_raw/Sep-results.pdf
2015-12-01,2015-12-03,2015-12-07,SMP,3.0,2015-09-17,3.5,2015-12-07,0.125,-0.5,-50.0,-3.375,-337.5,287.5,81,pdf_llm,data_raw/mp-Dec-2015-results.pdf,data_raw/mp-Dec-2015-results.pdf
2015-12-01,2015-12-03,2015-12-07,SPD,3.25,2015-09-17,3.5,2015-12-07,0.125,-0.25,-25.0,-3.375,-337.5,312.5,81,pdf_llm,data_raw/Dec-2015-results.pdf,data_raw/Dec-2015-results.pdf
2016-01-01,2016-01-14,2016-01-19,SMP,3.25,2015-12-16,3.5,2016-01-19,0.375,-0.25,-25.0,-3.125,-312.5,287.5,34,pdf_llm,data_raw/jan-results-mp.pdf,data_raw/jan-results-mp.pdf
2016-01-01,2016-01-14,2016-01-19,SPD,3.25,2015-12-16,3.5,2016-01-19,0.375,-0.25,-25.0,-3.125,-312.5,287.5,34,pdf_llm,data_raw/jan-2016-results.pdf,data_raw/jan-2016-results.pdf
2016-03-01,2016-03-03,2016-03-07,SMP,3.25,2015-12-16,3.5,2016-03-07,0.375,-0.25,-25.0,-3.125,-312.5,287.5,82,pdf_llm,data_raw/mar-results-mp.pdf,data_raw/mar-results-mp.pdf
2016-03-01,2016-03-03,2016-03-07,SPD,3.25,2015-12-16,3.5,2016-03-07,0.375,-0.25,-25.0,-3.125,-312.5,287.5,82,pdf_llm,data_raw/mar-2016-results.pdf,data_raw/mar-2016-results.pdf
2016-04-01,2016-04-14,2016-04-18,SMP,2.75,2016-03-16,3.3,2016-04-18,0.375,-0.5499999999999998,-55.0,-2.925,-292.5,237.5,33,pdf_llm,data_raw/apr-results-mp.pdf,data_raw/apr-results-mp.pdf
2016-04-01,2016-04-14,2016-04-18,SPD,3.25,2016-03-16,3.3,2016-04-18,0.375,-0.04999999999999982,-5.0,-2.925,-292.5,287.5,33,pdf_llm,data_raw/apr-2016-results.pdf,data_raw/apr-2016-results.pdf
2016-06-01,2016-06-02,2016-06-06,SMP,2.75,2016-03-16,3.3,2016-06-06,0.375,-0.5499999999999998,-55.0,-2.925,-292.5,237.5,82,pdf_llm,data_raw/jun-results-mp.pdf,data_raw/jun-results-mp.pdf
2016-06-01,2016-06-02,2016-06-06,SPD,3.25,2016-03-16,3.3,2016-06-06,0.375,-0.04999999999999982,-5.0,-2.925,-292.5,287.5,82,pdf_llm,data_raw/jun-2016-results.pdf,data_raw/jun-2016-results.pdf
2016-07-01,2016-07-14,2016-07-18,SMP,2.75,2016-06-15,3.0,2016-07-18,0.375,-0.25,-25.0,-2.625,-262.5,237.5,33,pdf_llm,data_raw/jul-results-mp.pdf,data_raw/jul-results-mp.pdf
2016-07-01,2016-07-14,2016-07-18,SPD,3.0,2016-06-15,3.0,2016-07-18,0.375,0.0,0.0,-2.625,-262.5,262.5,33,pdf_llm,data_raw/jul-2016-results.pdf,data_raw/jul-2016-results.pdf
2016-09-01,2016-09-08,2016-09-12,SMP,2.63,2016-06-15,3.0,2016-09-12,0.375,-0.3700000000000001,-37.0,-2.625,-262.5,225.5,89,pdf_llm,data_raw/sep-results-mp.pdf,data_raw/sep-results-mp.pdf
2016-09-01,2016-09-08,2016-09-12,SPD,3.0,2016-06-15,3.0,2016-09-12,0.375,0.0,0.0,-2.625,-262.5,262.5,89,pdf_llm,data_raw/sep-2016-results.pdf,data_raw/sep-2016-results.pdf
2016-11-01,2016-10-20,2016-10-24,SMP,2.5,2016-09-21,2.9,2016-10-24,0.375,-0.3999999999999999,-40.0,-2.525,-252.5,212.5,33,pdf_llm,data_raw/Nov-2016-SMP-Results.pdf,data_raw/Nov-2016-SMP-Results.pdf
2016-11-01,2016-10-20,2016-10-24,SPD,2.75,2016-09-21,2.9,2016-10-24,0.375,-0.1499999999999999,-15.0,-2.525,-252.5,237.5,33,pdf_llm,data_raw/Nov-2016-SPD-Results.pdf,data_raw/Nov-2016-SPD-Results.pdf
2016-12-01,2016-12-01,2016-12-05,SMP,2.75,2016-09-21,2.9,2016-12-05,0.375,-0.1499999999999999,-15.0,-2.525,-252.5,237.5,75,pdf_llm,data_raw/Dec-2016-Flash-SMP-Results-Public-Release.pdf,data_raw/Dec-2016-Flash-SMP-Results-Public-Release.pdf
2016-12-01,2016-12-01,2016-12-05,SPD,2.75,2016-09-21,2.9,2016-12-05,0.375,-0.1499999999999999,-15.0,-2.525,-252.5,237.5,75,pdf_llm,data_raw/Dec-2016-SPD-Results-Public-Release.pdf,data_raw/Dec-2016-SPD-Results-Public-Release.pdf
2017-01-01,2017-01-19,2017-01-23,SMP,2.81,2016-12-14,3.0,2017-01-23,0.625,-0.18999999999999995,-19.0,-2.375,-237.5,218.5,40,pdf_llm,data_raw/Jan-2017-SMP-Results-Public-Release.pdf,data_raw/Jan-2017-SMP-Results-Public-Release.pdf
2017-01-01,2017-01-19,2017-01-23,SPD,3.0,2016-12-14,3.0,2017-01-23,0.625,0.0,0.0,-2.375,-237.5,237.5,40,pdf_llm,data_raw/Jan-2017-SPD-Results-Public-Release.pdf,data_raw/Jan-2017-SPD-Results-Public-Release.pdf
2017-03-01,2017-03-02,2017-03-06,SMP,2.75,2016-12-14,3.0,2017-03-06,0.625,-0.25,-25.0,-2.375,-237.5,212.5,82,pdf_llm,data_raw/Mar-2017-SMP-Results-Public-Release.pdf,data_raw/Mar-2017-SMP-Results-Public-Release.pdf
2017-03-01,2017-03-02,2017-03-06,SPD,3.0,2016-12-14,3.0,2017-03-06,0.625,0.0,0.0,-2.375,-237.5,237.5,82,pdf_llm,data_raw/Mar-2017-SPD-Results-Public-Release.pdf,data_raw/Mar-2017-SPD-Results-Public-Release.pdf
2017-05-01,2017-04-20,2017-04-24,SMP,2.75,2017-03-15,3.0,2017-04-24,0.875,-0.25,-25.0,-2.125,-212.5,187.5,40,pdf_llm,data_raw/may-2017-SMP-Results-Public-Release.pdf,data_raw/may-2017-SMP-Results-Public-Release.pdf
2017-06-01,2017-06-01,2017-06-05,SMP,2.75,2017-03-15,3.0,2017-06-05,0.875,-0.25,-25.0,-2.125,-212.5,187.5,82,pdf_llm,data_raw/jun-2017-smp-results.pdf,data_raw/jun-2017-smp-results.pdf
2017-06-01,2017-06-01,2017-06-05,SPD,2.88,2017-03-15,3.0,2017-06-05,0.875,-0.1200000000000001,-12.0,-2.125,-212.5,200.5,82,pdf_llm,data_raw/jun-2017-spd-results.pdf,data_raw/jun-2017-spd-results.pdf
2017-07-01,2017-07-13,2017-07-17,SMP,2.75,2017-06-14,3.0,2017-07-17,1.125,-0.25,-25.0,-1.875,-187.5,162.5,33,pdf_llm,data_raw/jul-2017-smp-results.pdf,data_raw/jul-2017-smp-results.pdf
2017-07-01,2017-07-13,2017-07-17,SPD,2.75,2017-06-14,3.0,2017-07-17,1.125,-0.25,-25.0,-1.875,-187.5,162.5,33,pdf_llm,data_raw/jul-2017-spd-results.pdf,data_raw/jul-2017-spd-results.pdf
2017-09-01,2017-09-07,2017-09-11,SMP,2.75,2017-06-14,3.0,2017-09-11,1.125,-0.25,-25.0,-1.875,-187.5,162.5,89,pdf_llm,data_raw/sep-2017-smp-results.pdf,data_raw/sep-2017-smp-results.pdf
2017-09-01,2017-09-07,2017-09-11,SPD,2.75,2017-06-14,3.0,2017-09-11,1.125,-0.25,-25.0,-1.875,-187.5,162.5,89,pdf_llm,data_raw/sep-2017-spd-results.pdf,data_raw/sep-2017-spd-results.pdf
2017-10-01,2017-10-19,2017-10-23,SMP,2.75,2017-09-20,2.8,2017-10-23,1.125,-0.04999999999999982,-5.0,-1.6749999999999998,-167.5,162.5,33,pdf_llm,data_raw/oct-nov-2017-smp-results.pdf,data_raw/oct-nov-2017-smp-results.pdf
2017-10-01,2017-10-19,2017-10-23,SPD,2.75,2017-09-20,2.8,2017-10-23,1.125,-0.04999999999999982,-5.0,-1.6749999999999998,-167.5,162.5,33,pdf_llm,data_raw/oct-nov-2017-spd-results.pdf,data_raw/oct-nov-2017-spd-results.pdf
2017-12-01,2017-11-30,2017-12-04,SMP,2.75,2017-09-20,2.8,2017-12-04,1.125,-0.04999999999999982,-5.0,-1.6749999999999998,-167.5,162.5,75,pdf_llm,data_raw/dec-2017-smp-results.pdf,data_raw/dec-2017-smp-results.pdf
2017-12-01,2017-11-30,2017-12-04,SPD,2.75,2017-09-20,2.8,2017-12-04,1.125,-0.04999999999999982,-5.0,-1.6749999999999998,-167.5,162.5,75,pdf_llm,data_raw/dec-2017-spd-results.pdf,data_raw/dec-2017-spd-results.pdf
2018-01-01,2018-01-18,2018-01-22,SMP,2.75,2017-12-13,2.8,2018-01-22,1.375,-0.04999999999999982,-5.0,-1.4249999999999998,-142.5,137.5,40,pdf_llm,data_raw/jan-2018-smp-results.pdf,data_raw/jan-2018-smp-results.pdf
2018-01-01,2018-01-18,2018-01-22,SPD,2.75,2017-12-13,2.8,2018-01-22,1.375,-0.04999999999999982,-5.0,-1.4249999999999998,-142.5,137.5,40,pdf_llm,data_raw/jan-2018-spd-results.pdf,data_raw/jan-2018-spd-results.pdf
2018-03-01,2018-03-08,2018-03-12,SMP,2.75,2017-12-13,2.8,2018-03-12,1.375,-0.04999999999999982,-5.0,-1.4249999999999998,-142.5,137.5,89,pdf_llm,data_raw/mar-2018-smp-results.pdf,data_raw/mar-2018-smp-results.pdf
2018-03-01,2018-03-08,2018-03-12,SPD,2.75,2017-12-13,2.8,2018-03-12,1.375,-0.04999999999999982,-5.0,-1.4249999999999998,-142.5,137.5,89,pdf_llm,data_raw/mar-2018-spd-results.pdf,data_raw/mar-2018-spd-results.pdf
2018-05-01,2018-04-19,2018-04-23,SMP,2.75,2018-03-21,2.9,2018-04-23,1.625,-0.1499999999999999,-15.0,-1.275,-127.5,112.5,33,pdf_llm,data_raw/may-2018-smp-results.pdf,data_raw/may-2018-smp-results.pdf
2018-05-01,2018-04-19,2018-04-23,SPD,2.75,2018-03-21,2.9,2018-04-23,1.625,-0.1499999999999999,-15.0,-1.275,-127.5,112.5,33,pdf_llm,data_raw/may-2018-spd-results.pdf,data_raw/may-2018-spd-results.pdf
2018-06-01,2018-05-31,2018-06-04,SMP,2.88,2018-03-21,2.9,2018-06-04,1.625,-0.020000000000000018,-2.0,-1.275,-127.5,125.5,75,pdf_llm,data_raw/jun-2018-smp-results.pdf,data_raw/jun-2018-smp-results.pdf
2018-06-01,2018-05-31,2018-06-04,SPD,2.75,2018-03-21,2.9,2018-06-04,1.625,-0.1499999999999999,-15.0,-1.275,-127.5,112.5,75,pdf_llm,data_raw/jun-2018-spd-results.pdf,data_raw/jun-2018-spd-results.pdf
2018-07-01,2018-07-19,2018-07-23,SMP,2.88,2018-06-13,2.9,2018-07-23,1.875,-0.020000000000000018,-2.0,-1.025,-102.5,100.5,40,pdf_llm,data_raw/jul-aug-2018-smp-results.pdf,data_raw/jul-aug-2018-smp-results.pdf
2018-07-01,2018-07-19,2018-07-23,SPD,2.75,2018-06-13,2.9,2018-07-23,1.875,-0.1499999999999999,-15.0,-1.025,-102.5,87.5,40,pdf_llm,data_raw/jul-aug-2018-spd-results.pdf,data_raw/jul-aug-2018-spd-results.pdf
2018-09-01,2018-09-13,2018-09-17,SMP,2.875,2018-06-13,2.9,2018-09-17,1.875,-0.02499999999999991,-2.5,-1.025,-102.5,100.0,96,pdf_llm,data_raw/sep-2018-smp-results.pdf,data_raw/sep-2018-smp-results.pdf
2018-09-01,2018-09-13,2018-09-17,SPD,2.75,2018-06-13,2.9,2018-09-17,1.875,-0.1499999999999999,-15.0,-1.025,-102.5,87.5,96,pdf_llm,data_raw/sep-2018-spd-results.pdf,data_raw/sep-2018-spd-results.pdf
2018-11-01,2018-10-25,2018-10-29,SMP,3.0,2018-09-26,3.0,2018-10-29,2.125,0.0,0.0,-0.875,-87.5,87.5,33,pdf_llm,data_raw/nov-2018-smp-results.pdf,data_raw/nov-2018-smp-results.pdf
2018-11-01,2018-10-25,2018-10-29,SPD,2.88,2018-09-26,3.0,2018-10-29,2.125,-0.1200000000000001,-12.0,-0.875,-87.5,75.5,33,pdf_llm,data_raw/nov-2018-spd-results.pdf,data_raw/nov-2018-spd-results.pdf
2018-12-01,2018-12-06,2018-12-10,SMP,3.0,2018-09-26,3.0,2018-12-10,2.125,0.0,0.0,-0.875,-87.5,87.5,75,pdf_llm,data_raw/dec-2018-smp-results.pdf,data_raw/dec-2018-smp-results.pdf
2018-12-01,2018-12-06,2018-12-10,SPD,2.88,2018-09-26,3.0,2018-12-10,2.125,-0.1200000000000001,-12.0,-0.875,-87.5,75.5,75,pdf_llm,data_raw/dec-2018-spd-results.pdf,data_raw/dec-2018-spd-results.pdf
2019-01-01,2019-01-17,2019-01-22,SMP,2.75,2018-12-19,2.8,2019-01-22,2.375,-0.04999999999999982,-5.0,-0.4249999999999998,-42.5,37.5,34,pdf_llm,data_raw/jan-2019-smp-results.pdf,data_raw/jan-2019-smp-results.pdf
2019-01-01,2019-01-17,2019-01-22,SPD,2.75,2018-12-19,2.8,2019-01-22,2.375,-0.04999999999999982,-5.0,-0.4249999999999998,-42.5,37.5,34,pdf_llm,data_raw/jan-2019-spd-results.pdf,data_raw/jan-2019-spd-results.pdf
2019-03-01,2019-03-06,2019-03-11,SMP,2.75,2018-12-19,2.8,2019-03-11,2.375,-0.04999999999999982,-5.0,-0.4249999999999998,-42.5,37.5,82,pdf_llm,data_raw/mar-2019-smp-results.pdf,data_raw/mar-2019-smp-results.pdf
2019-03-01,2019-03-06,2019-03-11,SPD,2.75,2018-12-19,2.8,2019-03-11,2.375,-0.04999999999999982,-5.0,-0.4249999999999998,-42.5,37.5,82,pdf_llm,data_raw/mar-2019-spd-results.pdf,data_raw/mar-2019-spd-results.pdf
2019-05-01,2019-04-17,2019-04-22,SMP,2.69,2019-03-20,2.8,2019-04-22,2.375,-0.10999999999999988,-11.0,-0.4249999999999998,-42.5,31.5,33,pdf_llm,data_raw/apr-may-2019-smp-results.pdf,data_raw/apr-may-2019-smp-results.pdf
2019-05-01,2019-04-17,2019-04-22,SPD,2.75,2019-03-20,2.8,2019-04-22,2.375,-0.04999999999999982,-5.0,-0.4249999999999998,-42.5,37.5,33,pdf_llm,data_raw/apr-may-2019-spd-results.pdf,data_raw/apr-may-2019-spd-results.pdf
2019-06-01,2019-06-05,2019-06-10,SMP,2.5,2019-03-20,2.8,2019-06-10,2.375,-0.2999999999999998,-30.0,-0.4249999999999998,-42.5,12.5,82,pdf_llm,data_raw/jun-2019-smp-results.pdf,data_raw/jun-2019-smp-results.pdf
2019-06-01,2019-06-05,2019-06-10,SPD,2.69,2019-03-20,2.8,2019-06-10,2.375,-0.10999999999999988,-11.0,-0.4249999999999998,-42.5,31.5,82,pdf_llm,data_raw/jun-2019-spd-results.pdf,data_raw/jun-2019-spd-results.pdf
2019-07-01,2019-07-17,2019-07-22,SMP,2.5,2019-06-19,2.5,2019-07-22,2.375,0.0,0.0,-0.125,-12.5,12.5,33,pdf_llm,data_raw/jul-2019-smp-results.pdf,data_raw/jul-2019-smp-results.pdf
2019-07-01,2019-07-17,2019-07-22,SPD,2.5,2019-06-19,2.5,2019-07-22,2.375,0.0,0.0,-0.125,-12.5,12.5,33,pdf_llm,data_raw/jul-2019-spd-results.pdf,data_raw/jul-2019-spd-results.pdf
2019-09-01,2019-09-04,2019-09-09,SMP,2.48,2019-06-19,2.5,2019-09-09,2.125,-0.020000000000000018,-2.0,-0.375,-37.5,35.5,82,pdf_llm,data_raw/sep-2019-smp-results.pdf,data_raw/sep-2019-smp-results.pdf
2019-09-01,2019-09-04,2019-09-09,SPD,2.5,2019-06-19,2.5,2019-09-09,2.125,0.0,0.0,-0.375,-37.5,37.5,82,pdf_llm,data_raw/sep-2019-spd-results.pdf,data_raw/sep-2019-spd-results.pdf
2019-10-01,2019-10-16,2019-10-21,SMP,2.38,2019-09-18,2.5,2019-10-21,1.875,-0.1200000000000001,-12.0,-0.625,-62.5,50.5,33,pdf_llm,data_raw/oct-2019-smp-results.pdf,data_raw/oct-2019-smp-results.pdf
2019-10-01,2019-10-16,2019-10-21,SPD,2.5,2019-09-18,2.5,2019-10-21,1.875,0.0,0.0,-0.625,-62.5,62.5,33,pdf_llm,data_raw/oct-2019-spd-results.pdf,data_raw/oct-2019-spd-results.pdf
2019-12-01,2019-11-26,2019-12-02,SMP,2.31,2019-09-18,2.5,2019-12-02,1.625,-0.18999999999999995,-19.0,-0.875,-87.5,68.5,75,pdf_llm,data_raw/dec-2019-smp-results.pdf,data_raw/dec-2019-smp-results.pdf
2019-12-01,2019-11-26,2019-12-02,SPD,2.5,2019-09-18,2.5,2019-12-02,1.625,0.0,0.0,-0.875,-87.5,87.5,75,pdf_llm,data_raw/dec-2019-spd-results.pdf,data_raw/dec-2019-spd-results.pdf
2020-01-01,2020-01-15,2020-01-21,SMP,2.25,2019-12-11,2.5,2020-01-21,1.625,-0.25,-25.0,-0.875,-87.5,62.5,41,pdf_llm,data_raw/jan-2020-smp-results.pdf,data_raw/jan-2020-smp-results.pdf
2020-01-01,2020-01-15,2020-01-21,SPD,2.4,2019-12-11,2.5,2020-01-21,1.625,-0.10000000000000009,-10.0,-0.875,-87.5,77.5,41,pdf_llm,data_raw/jan-2020-spd-results.pdf,data_raw/jan-2020-spd-results.pdf
2020-03-01,2020-03-04,2020-03-09,SMP,2.25,2019-12-11,2.5,2020-03-09,1.125,-0.25,-25.0,-1.375,-137.5,112.5,89,pdf_llm,data_raw/mar-2020-smp-results.pdf,data_raw/mar-2020-smp-results.pdf
