meeting_date,horizon,n,p25,p50,p75,source,file_path,page,notes
2013-06-19,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20130619SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2014-03-01,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20130918SEPcompilation.pdf,,Figure 2 with the federal funds rate dot plot is not available in the provided document.
2013-12-18,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20131218SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2014-03-19,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20140319SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2014-03-01,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20140618SEPcompilation.pdf,,Figure 2 is not available in the provided document pages.
2014-09-17,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20140917SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2014-12-17,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20141217SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2015-03-18,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20150318SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2015-06-17,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20150617SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2015-09-01,Longer run,17,3.25,3.5,3.75,sep_pdf,data_raw/sep/FOMC20150917SEPcompilation.pdf,10,
2015-12-16,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20151216SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2016-03-16,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20160316SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2016-06-15,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20160615SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2016-09-21,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20160921SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2016-12-14,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20161214SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2017-03-01,Longer run,15,2.75,3.0,3.0,sep_pdf,data_raw/sep/FOMC20170315SEPcompilation.pdf,7,
2017-06-14,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20170614SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2017-09-20,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20170920SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2017-12-13,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20171213SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2018-03-21,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20180321SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2018-06-13,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20180613SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2018-09-01,Longer run,16,2.75,2.875,3.0,sep_pdf,data_raw/sep/FOMC20180926SEPcompilation.pdf,8,
2018-12-19,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20181219SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2019-03-20,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20190320SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2019-06-19,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20190619SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2019-09-18,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20190918SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2019-12-01,Longer run,15,2.5,2.5,2.625,sep_pdf,data_raw/sep/FOMC20191211SEPcompilation.pdf,8,
